ADRCD_NM,ADRCD_CD,LCTN_SC_CODE,SCHUL_CODE,SCHUL_NM,SCHUL_KND_SC_CODE,PBAN_EXCP_YN,SEM_STR,AIR_BACT_STB_YN,AIR_BACT_RSLT_NMVL,AIR_BACT_RSLT_NMVL_2,FALL_BACT_STB_YN,FALL_BACT_RSLT_NMVL,FALL_BACT_RSLT_NMVL_2,MITE_STB_YN,MITE_RSLT_NMVL,MITE_RSLT_NMVL_2,RN_STB_YN,RN_RSLT_NMVL,RN_RSLT_NMVL_2,O3_STB_YN,O3_RSLT_NMVL,O3_RSLT_NMVL_2,ASBESTOS_STB_YN,ASBESTOS_RSLT_NMVL,ASBESTOS_RSLT_NMVL_2
서울특별시 도봉구,1132010600.0,1,S010001726,창동중학교,3,N,하반기,적합,264.0,,해당없음,,,적합,20.0,,적합,28.0,,적합,0.03,,적합,0.0,
서울특별시 도봉구,1132010700.0,1,S010001727,창북중학교,3,N,상반기,적합,452.0,,적합,0.0,,적합,20.0,,적합,0.0,,적합,0.03,,적합,0.01,
서울특별시 도봉구,1132010700.0,1,S010001727,창북중학교,3,N,하반기,적합,173.0,,적합,0.0,,적합,20.0,,적합,36.0,,적합,0.02,,적합,0.0,
서울특별시 도봉구,1132010700.0,1,S010001728,창일중학교,3,N,상반기,적합,90.0,,해당없음,,,적합,20.0,,적합,76.0,,적합,0.02,,적합,0.01,
서울특별시 도봉구,1132010700.0,1,S010001728,창일중학교,3,N,하반기,적합,225.0,,적합,0.0,,적합,0.0,,적합,25.0,,적합,0.03,,적합,0.0,
서울특별시 노원구,1135010300.0,1,S010001730,태랑중학교,3,N,상반기,적합,147.0,252.0,적합,7.0,7.0,적합,20.0,,적합,14.0,,적합,0.02,0.04,적합,0.0,
서울특별시 노원구,1135010300.0,1,S010001730,태랑중학교,3,N,하반기,적합,155.0,,해당없음,,,적합,20.0,,적합,21.0,,적합,0.01,,적합,0.0,
서울특별시 노원구,1135010400.0,1,S010001731,하계중학교,3,N,상반기,적합,292.0,,적합,1.0,,적합,20.0,,적합,25.0,,적합,0.019,,적합,0.01,
서울특별시 노원구,1135010400.0,1,S010001731,하계중학교,3,N,하반기,적합,292.0,,미실시,,,적합,20.0,,적합,25.0,,적합,0.01,,적합,0.01,
서울특별시 노원구,1135010300.0,1,S010001732,한천중학교,3,N,상반기,적합,360.0,,해당없음,,,적합,20.0,,적합,57.0,,적합,0.002,,적합,0.01,
서울특별시 노원구,1135010300.0,1,S010001732,한천중학교,3,N,하반기,적합,258.0,,적합,0.0,,적합,20.0,,적합,74.0,,적합,0.02,,적합,0.01,
서울특별시 은평구,1138010500.0,1,S010001926,구산중학교,3,N,상반기,적합,,499.0,적합,,1.0,적합,,20.0,적합,,49.4,적합,,0.019,해당없음,,
서울특별시 은평구,1138010500.0,1,S010001926,구산중학교,3,N,하반기,적합,499.0,,적합,1.0,,적합,0.0,,적합,49.4,,적합,0.01,,해당없음,,
서울특별시 은평구,1138010900.0,1,S010001928,덕산중학교,3,N,상반기,적합,373.0,,적합,2.0,,적합,20.0,,적합,63.3,,적합,0.012,,미실시,,
서울특별시 은평구,1138010900.0,1,S010001928,덕산중학교,3,N,하반기,적합,153.0,,적합,1.0,,적합,20.0,,적합,14.2,,적합,0.01,,미실시,,
서울특별시 은평구,1138010300.0,1,S010001932,불광중학교,3,N,상반기,적합,142.0,,적합,1.0,,적합,20.0,,적합,50.0,,적합,0.03,,해당없음,,
서울특별시 은평구,1138010300.0,1,S010001932,불광중학교,3,N,하반기,적합,89.0,,적합,1.0,,적합,20.0,,적합,62.0,,적합,0.03,,미실시,,
