SCHUL_CODE,공시년도,TOTAL_WEIGHTED_SCORE,SAFETY_GRADE,학교명,연도,학교시설확충,세입세출구분,정부이전수입/인적자원운용,학부모부담수입/기본적교육활동,행정활동수입/교육활동지원,1인당 예산,설립구분,지역,학교과정구분명(초-중-고),학교교육시설 보수확충금액,학생복지및 자치활동지원금액
S010000780,1979,0.597658588520268,D,서울원촌초등학교,2023,0.0,예산세출,13665000,177839000,84628000,646138.9,공립,서울특별시 서초구,초,0.0,114050.0
S010000780,1979,0.597658588520268,D,서울원촌초등학교,2024,,예산세입,755315000,12390000,11400000,,공립,서울특별시 서초구,초,,
S010000780,1979,0.597658588520268,D,서울원촌초등학교,2024,0.0,예산세출,29335000,182053000,75017000,799309.1,공립,서울특별시 서초구,초,,
S010000781,1977,0.4274342694667339,B,서울이수초등학교,2022,,예산세입,483606000,0,1540000,,공립,서울특별시 서초구,초,0.0,0.0
S010000781,1977,0.4274342694667339,B,서울이수초등학교,2022,5000000.0,예산세출,18645000,98752000,86950000,878991.2,공립,서울특별시 서초구,초,0.0,0.0
S010000781,1977,0.4274342694667339,B,서울이수초등학교,2023,,예산세입,526505000,0,7354000,,공립,서울특별시 서초구,초,0.0,0.0
S010000781,1977,0.4274342694667339,B,서울이수초등학교,2023,0.0,예산세출,21263000,127465000,75412000,973201.8,공립,서울특별시 서초구,초,0.0,0.0
S010000781,1977,0.4274342694667339,B,서울이수초등학교,2024,,예산세입,633649000,52700000,30244000,,공립,서울특별시 서초구,초,0.0,0.0
S010000781,1977,0.4274342694667339,B,서울이수초등학교,2024,0.0,예산세출,31463000,145105000,60647000,1441535.6,공립,서울특별시 서초구,초,0.0,0.0
S010000782,1984,0.4380954921612398,B,서울일원초등학교,2022,,예산세입,552648000,48370000,7002000,,공립,서울특별시 강남구,초,0.0,0.0
S010000782,1984,0.4380954921612398,B,서울일원초등학교,2022,0.0,예산세출,9860000,107463000,117439000,549929.9,공립,서울특별시 강남구,초,0.0,0.0
