SCHUL_NM,ADRCD_NM,SCHUL_KND_SC_CODE,SEM_STR,AIR_BACT,FALL_BACT,MITE,RN,O3,ASBESTOS
서울상일초등학교,서울특별시 강동구,2,상반기,345.0,1.603230313293819,20.0,13.6,0.019,0.0
서울상일초등학교,서울특별시 강동구,2,하반기,336.6977637130801,1.603230313293819,17.980964673913046,45.43074929577464,0.021434327176781006,0.003964597478176527
서울석촌초등학교,서울특별시 송파구,2,상반기,244.0,3.0,20.0,16.3,0.009,0.003964597478176527
서울석촌초등학교,서울특별시 송파구,2,하반기,622.0,1.0,20.0,45.43074929577464,0.0,0.01
서울선린초등학교,서울특별시 강동구,2,상반기,167.0,1.603230313293819,0.2,36.4,0.014,0.003964597478176527
서울선린초등학교,서울특별시 강동구,2,하반기,299.0,1.0,20.0,47.6,0.0,0.003964597478176527
서울선사초등학교,서울특별시 강동구,2,상반기,409.0,1.603230313293819,20.0,37.3,0.015,0.003964597478176527
서울선사초등학교,서울특별시 강동구,2,하반기,675.0,1.603230313293819,0.2,37.9,0.01,0.003964597478176527
서울성내초등학교,서울특별시 강동구,2,상반기,205.5,1.0,0.2,13.4,0.002,0.003964597478176527
서울성내초등학교,서울특별시 강동구,2,하반기,728.0,5.0,20.0,11.5,0.0,0.003964597478176527
서울성일초등학교,서울특별시 강동구,2,상반기,399.0,2.0,0.0,4.3,0.005,0.003964597478176527
서울성일초등학교,서울특별시 강동구,2,하반기,399.0,2.0,20.0,18.2,0.0,0.0
서울세륜초등학교,서울특별시 송파구,2,상반기,336.6977637130801,1.603230313293819,17.980964673913046,45.43074929577464,0.021434327176781006,0.003964597478176527
서울세륜초등학교,서울특별시 송파구,2,하반기,336.6977637130801,1.603230313293819,17.980964673913046,45.43074929577464,0.021434327176781006,0.003964597478176527
서울송전초등학교,서울특별시 송파구,2,상반기,515.5,1.5,20.0,73.5,0.0305,0.003964597478176527
서울송전초등학교,서울특별시 송파구,2,하반기,316.0,2.0,20.0,58.8,0.01,0.003964597478176527
서울송파초등학교,서울특별시 송파구,2,상반기,425.0,0.0,20.0,20.6,0.0,0.01
